Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
10.12.2021,15:00,BGLK80,01,BEŞİKTAŞ JK,40 - 55,İSTANBUL ÜNİVERSİTESİ,A,İSTANBUL,Akatlar Spor ve Kültür Kompleksi,,ÇAĞLAR ÖZKAN,CANER BAHADIR,BURAK PEHLİVAN,ENES HİKMET ERMANER,AYBERK PARALI,YÜKSEL NAZLIGÜL,NEŞE KIRAN,HİLMİ CANKUT AYNAR,Akatlar Spor ve Kültür Kompleksi
10.12.2021,16:30,BGLK79,01,HATAYSPOR,77 - 49,KEPEZ BELEDİYESİ ANTALYA 07 BASKETBOL,A,HATAY,Antakya Spor Salonu,,HALDUN ÇOBAN,SALİH OCAKOĞLU,ABDURRAHMAN İNAL,MELEK BANU MURSAL,ZELİHA ADİS,ÇAĞLA ÇAY,DÖNE KARA,YÜSRA BAKIRCI,Antakya Spor Salonu
10.12.2021,18:00,BGLK82,01,GALATASARAY,55 - 66,İSTANBUL BASKETBOL FENERİ,B,İSTANBUL,Küçükçekmece Halkalı Spor Salonu,,MUHAMMED MURAT ZAFER,SÜLEYMAN EREN PEKDOĞAN,BURAK ERKAN,TUĞBA EŞKİL,NİLAY YILMAZ,ERMAN YÜCEL,FARUK RAMOĞLU,TUĞÇE KAYA,Küçükçekmece Halkalı Spor Salonu
11.12.2021,15:00,BGLK77,01,İSTANBUL YILDIZLARI,39 - 67,BOTAŞ,A,İSTANBUL,Maltepe Müzahir Sille Spor Salonu,,BENHÜR İRCEL,GÖKHAN EĞLENOĞLU,MAHSUN ALANKO,ALİGÜRHAN UZUNAY,BEGÜM SAVAŞ,DEMET ULUCUTSOY,SİNAN ERSOY,ECE DİKMENLİ,Maltepe Müzahir Sille Spor Salonu
12.12.2021,13:00,BGLK81,01,TİMUR ARSLAN KOLEJİ,39 - 69,ÇANKAYA ÜNİVERSİTESİ,B,İZMİR,12 Eylül Spor Salonu,,MUSTAFA CANDEMİR TABAK,NUR AKÇA,OKAN MUHAMMET ANLATICI,DOĞAN HEPGÜVENDİK,BETÜL AKDOĞAN,İLAYDA DİNÇEL,OSMAN ARKIN BARUTCU,SİNEM YENİ,12 Eylül Spor Salonu
12.12.2021,15:30,BGLK84,01,BELLONA KAYSERİ BASKETBOL,71 - 47,ÇBK MERSİN YENİŞEHİR BELEDİYESİ,B,KAYSERİ,Kadir Has Kongre Merkezi Spor Salonu,,YARKIN KESKİN,HASAN MESUT DEMİR,AHMET MALİK ŞAN,ABDULLAH ÖZSUVEREN,MELİKE ÜLKÜ,YÜCEL KARAFİL,FATMA AŞILI,,Kadir Has Kongre Merkezi Spor Salonu
13.12.2021,14:00,BGLK83,01,NESİBE AYDIN,45 - 80,EMLAK KONUT,B,ANKARA,TOBB ETÜ Spor Salonu ,,NİYAZİ YASİN KAHRAMAN,OSMAN CAN GÜNDOĞDU,BERK YÜCEL,OZAN ÜSTÜN,ALPER KESEN,NİHAN ÜNSAL,MURATCAN KOLÇAK,SİMAY ÇAKMAK,TOBB ETÜ Spor Salonu
13.12.2021,15:00,BGLK78,01,FENERBAHÇE,75 - 53,DÜZCE ATLETİK,A,İSTANBUL,Fenerbahçe Metro Enerji Spor Salonu,,AYDIN KARAÇAM,MURAT GENÇ,ENES DURAN,ERSİN ÇELİK,EDA ELFİDAN,EBRU ULUDOĞAN,FATMA GÖK,ESER FIRIL,Fenerbahçe Metro Enerji Spor Salonu
17.12.2021,14:00,BGLK90,02,TİMUR ARSLAN KOLEJİ,46 - 56,NESİBE AYDIN,B,İZMİR,Buca Akıncılar Serdar Yereli Spor Salonu,,CEMİL UYGÜL,MURAT AMAÇ,ATAKAN KOLCU,ELA ONAT,SENEM ARIN KOCATÜRK,DENİZ TAN,DİLEK DOĞAN KARACA,ŞAHİN ŞANLI,Buca Akıncılar Serdar Yereli Spor Salonu
18.12.2021,15:00,BGLK86,02,İSTANBUL YILDIZLARI,70 - 50,KEPEZ BELEDİYESİ ANTALYA 07 BASKETBOL,A,İSTANBUL,Maltepe Müzahir Sille Spor Salonu,,MÜNEVVER ÖZEMRE,AHMET TAYLAN ÖZTÜRK,MUSTAFA ÇELTİKER,BURAK DEMİR,DEMET ULUCUTSOY,YEŞİM ÖZCAN ÖZTÜRK,EBRU ULUDOĞAN,EDA ELFİDAN,Maltepe Müzahir Sille Spor Salonu
